Place_Id,Place_Name,Description,Category,City,Price,Rating,Lat,Long
1,Curug Cikuluwung,A tourist spot that serves 2 waterfalls located in Suka Asih Village Waterfall,Natural,Bogor,20000,4.4,-6.642084,106.643266
2,Curug Love,This waterfall has a water flow that resembles the shape of a heart because of the rocks that split in the middle of the flow,Natural,Bogor,10000,4.6,-7.21425,107.03078
3,Devoyage Bogor (Kampung Eropa),Enjoy the european atmosphere with cheap budget without the need to go abroad,Amusement Park,Bogor,50000,4.1,-6.637331,106.795164
4,Taman Buah Mekarsari,playing among the fruits trees with the family where there are various kinds of fruits and plant,Amusement Park,Bogor,10000,4.5,-6.414543,106.986639
5,The Ranch Cisarua,"Cowboy-themed playground with cool mountain air, complete with castle and flower plants",Amusement Park,Bogor,20000,4.5,-6.659023,106.914103
6,Jungle Fest,theme park with a lifestyle concept that offers a beautiful natural atmosphere even though it is in the middle of the city,Amusement Park,Bogor,75000,4.5,-6.641244,106.786651
7,Rumah Air Resto,"provide varity of fish dish, tilapia,  squid and shrimp. also equipped with exciting games",Foods,Bogor,4000,4.5,-6.637456,106.793894
8,Kuntum Farm Field,Kuntum Farm Field is a place to turn your children into happy shepherds,Amusement Park,Bogor,50000,4,-6.641537,106.839665
9,Masjid Agung Bogor,The mosque  which is located right in the middle of Pasar Anyar  is a mosque that is never empty of visitors  either on weekdays or on religious days such as Ramadan,Religious,Bogor,0,4.4,-6.593449,106.792103
10,Masjid Raya Bogor,The mosque  which is located not far from the entrance of the Jagorawi Toll Road  is a mosque that is quite magnificent with all the facilities that can be used,Religious,Bogor,0,4.5,-6.606917,106.808808
11,Masjid An Nur,This mosque does not look as grand as other mosques but this mosque has its uniqueness  namely that there is a country-style atmosphere in the Middle East,Religious,Bogor,0,4.6,-6.608388,106.795908
12,Masjid Andalusia,One of the interesting things about this mosque comes from its beautiful building and is predicted to be similar to Haghia Sophia,Religious,Bogor,0,4,-6.568264,106.846855
13,Masjid Atta awun,Having a very large yard with cool weather in the style of the peak  will make you feel at home for long in this mosque,Religious,Bogor,0,4.2,-6.568264,106.846855
14,Musala Di Vihara Pan Kho Bio,the location is around Babakan Central Bogor District. Many agree that this prayer room is a tangible form of representation of tolerance between religious communities in Bogor,Religious,Bogor,0,4.8,-6.483585,106.748656
15,Botani Square,The Botani Square is located besides the Hotel Santika Bogor. Very convenient and many food outlets for choice. There are also many branded stores and departmental stores. Several fast food outlets and cafes for coffee too,Shopping,Bogor,0,4.4,-6.600993,106.807021
16,Bukit Alesano,The hill in Cipelang Village  which is located at an altitude  allows tourists to see the whole city of Bogor,Natural,Bogor,25000,4.3,-6.707257,106.777102
17,Gunung Gede,It is one of the best-selling climbing spots because the location from the peak is close to Jakarta and Bandung  so many workers are refreshing,Natural,Bogor,20500,4.4,-6.73719,107.004648
18,Curug Cikaracak,The waterfall which has 2 waterfalls as high as 20 meters and 40 meters has a fairly swift and clear flow so that visitors can enjoy the freshness of bathing under the splashing water,Natural,Bogor,10000,4.7,-6.7547,106.873933
19,Jungle Land Adventure Theme,a forest-themed place that provides rides for all types of visitors,Amusement Park,Bogor,185000,4.6,-6.572278,106.894679
20,Curug Putri Kencana,Curug Putri Kencana is a waterfall with a height of approximately 7 meters. This waterfall is surrounded by high rock walls and wild forests. The water is famous for its blue-green color and very clear. The sound of various wild animals such as birdsong adorns this area  making anyone who comes feel at one with nature,Natural,Bogor,25000,4.5,-6.7547,106.873933
21,Curug Bidadari,This waterfall has a height of about 40-75 meters with a width of 7 meters. In the past  it was known as Curug Bojong Koneng,Natural,Bogor,25000,4.1,-6.613708,106.908364
22,Taman Safari Indonesia,go on a safari to see the animals in their natural habitat,Animals,Bogor,170000,4.7,-6.722299,106.951603
23,Wisata Penangkaran Rusa Giri Jaya,spend time playing and joking with the adorable deer stag,Animals,Bogor,20000,4.1,-6.636581,107.17227
24,Curug Cigamea,The two waterfalls are located next to each other and are very beautiful. Curug Cigamea is located in the Mount Salak Endah Tourism Area within the Mount Halimun Salak National Park (TNGHS),Natural,Bogor,10000,4.6,-6.695959,106.688613
25,Mall BTM Bogor,Mall BTM Bogor is a renowned shopping and entertainment center in Bogor city,Shopping,Bogor,0,4,-6.604391,106.796151
26,Ski Tajur Katulampa,This place is good place to family vacation. There is so many kind of games for children and food also.,Shopping,Bogor,0,4.3,-6.622126,106.821334
27,Marcopolo Water Adventure,a unique swimming pool that will take you on an adventure with your little one,Amusement Park,Bogor,55000,4.5,-6.547439,106.782777
28,Taman Wisata Matahari,have fun while getting acquainted with the beautiful and cool nature of the mountains. super complete tourist spot,Amusement Park,Bogor,60000,4.4,-6.656141,106.916704
29,Chocomory,One of the places that must be visited in Bogor because here you can buy various kinds of souvenirs typical of Bogor,Shopping,Bogor,50000,5,-6.616244,106.814426
30,water joy Waterpark,water tourism with many water rides that can be enjoyed,Amusement Park,Bogor,35000,4.7,-6.392972,106.999379
31,Rumoh Kupi Premium,"even though the name is rumoh kupi premium, apart from coffe here you will be spoiledby various typical dishes from serambi mekkah which are rich in spices and full of flavor.",Foods,Bogor,19500,4.4,-6.575748,106.800743
